,league,club,team rating,goals per match,conceded goal per match,average possesion,clean sheets,expected goals team,shots on target per match,big chance team,big chances missed,accurate passes per match,accurate long balls per match,accurate crosses per match,penalities awarded,touches in opposition box,corners,expected goals conceded,interceptions per match,succesful tackles per match,clearances per match,possesion won final 3rd per match,penalties conceded,saves per match,fouls per match,total yellow cards,red cards
0,ENG,Manchester City,7.37,2.5,0.9,65.4%,13,81.9,7.3,124,73,625.1,26.4,4.1,10.0,"1,573",286.0,35.9,6.1,8.0,11.1,7.5,3.0,2.0,7.6,52,2.0
1,ENG,Liverpool,7.19,2.3,1.1,61.6%,10,89.4,7.3,128,79,508.2,25.3,6.0,9.0,"1,513",287.0,46.2,7.7,11.0,14.9,6.1,1.0,2.9,12.2,65,5.0
2,ENG,Arsenal,7.18,2.4,0.8,58.4%,18,77.4,6.0,113,63,481.0,19.1,4.6,10.0,"1,587",265.0,28.4,7.7,9.2,12.7,6.7,3.0,1.4,10.3,62,2.0
3,ENG,Tottenham Hotspur,7.07,1.9,1.6,62.0%,7,69.0,5.7,107,65,517.4,16.2,3.6,2.0,"1,403",234.0,64.6,9.3,11.9,17.2,6.5,7.0,2.9,11.2,89,4.0
4,ENG,Chelsea,7.02,2.0,1.7,59.0%,8,75.3,5.7,122,73,504.7,23.2,3.0,12.0,"1,127",202.0,59.0,7.8,9.9,19.2,5.7,5.0,3.4,11.7,105,4.0
5,ENG,Newcastle United,7.02,2.2,1.6,52.3%,10,77.1,5.6,134,70,396.7,21.1,4.7,9.0,"1,178",192.0,62.0,7.5,10.3,17.1,5.1,5.0,3.6,10.2,77,1.0
6,ENG,Manchester United,6.96,1.5,1.5,50.5%,9,56.9,5.1,79,50,393.4,23.5,3.4,7.0,"1,109",224.0,70.1,8.2,10.8,,5.1,7.0,3.9,10.6,81,1.0
7,ENG,Crystal Palace,6.94,1.5,1.5,42.1%,10,49.1,4.4,71,36,318.1,21.5,3.8,4.0,840,178.0,52.8,8.5,12.2,,5.1,3.0,2.6,12.0,69,2.0
8,ENG,Everton,6.92,1.1,1.3,40.5%,13,54.9,4.3,90,63,273.7,27.4,4.5,3.0,845,181.0,56.1,9.4,11.6,,5.8,8.0,3.2,12.0,80,1.0
9,ENG,Aston Villa,6.91,2.0,1.6,53.3%,8,64.7,5.0,98,58,402.8,21.2,3.9,4.0,"1,078",231.0,60.7,6.2,8.2,14.8,4.1,2.0,3.1,10.8,94,2.0
10,ENG,West Ham United,6.89,1.6,1.9,40.7%,5,52.9,4.1,80,46,306.8,23.0,4.2,5.0,800,166.0,72.2,9.5,11.2,,4.3,10.0,4.5,10.3,76,3.0
11,ENG,Wolverhampton Wanderers,6.86,1.3,1.7,48.9%,5,47.6,4.2,73,42,382.2,21.2,3.7,4.0,795,156.0,68.9,7.5,11.3,20.7,4.4,8.0,3.7,12.5,100,4.0
12,ENG,Fulham,6.82,1.4,1.6,50.7%,10,51.6,4.7,69,35,403.8,25.6,4.7,2.0,891,212.0,64.3,9.8,10.1,18.8,4.0,8.0,3.5,10.1,78,4.0
13,ENG,Brentford,6.82,1.5,1.7,45.0%,7,59.8,4.5,107,69,307.0,25.0,5.2,3.0,"1,031",184.0,56.7,9.9,10.5,,4.8,2.0,3.2,10.1,89,2.0
14,ENG,AFC Bournemouth,6.81,1.4,1.8,44.1%,9,56.7,4.9,83,49,288.1,23.8,4.5,3.0,"1,101",235.0,58.8,9.4,10.8,,5.4,7.0,3.5,13.3,79,3.0
15,ENG,Brighton & Hove Albion,6.8,1.4,1.6,60.2%,6,58.0,5.5,91,61,551.2,20.9,4.8,6.0,"1,158",206.0,56.4,7.6,9.6,15.1,4.7,6.0,2.8,10.9,91,3.0
